Label,Tweet
0,140 police officers in London injured. Who would have thought that mindlessly encouraging hateful rhetoric towards UK police for an American problem would have led to this. #mediascum #LondonRiots2020 #metpolice #BlackLivesMattters #blacklivesmatter
0,Trump needs to back the fuck off #BlackLivesMatter . Maybe it is time to go back to cop watching.
1,"Being Black has been a difficult journey for all dark skined people in the world let us unit against inequality and show the world that #blacklivesmatter #BLM #FromClubToHome #FromClubToHome6 (Black Lives Matter) Mixed by Lavista download and share Link

https://t.co/ZB8ngZcom6 https://t.co/lSDSXQJPTp"
0,Just a reminder for the commie Che loving #BlackLivesMatter idiots. https://t.co/bvAF4fH8kR
0,"Black people, injure police officersa week after protesting #blacklivesmatter in the city.
White people, head to the beach ignoring social distancing during a pandemic #COVIDIOTS  
Don’t worry, we all the same whatever race, creed religion"
1,#blacklivesmatter until it actually does
0,Fucking white people acting as if justice is finite and there won’t be any left if Black people gets it... #BlackLivesMatter
1,‘We need to make creative legal arguments that can end the way discrimination is normalised within British society. We can no longer wait for injustices to undo themselves or get “better” over time.’ Thank you to @fufuisonme for a powerful blog for @EqualRights #BlackLivesMatter https://t.co/QO8ExPVxJ0
1,"Loyalty is the only friendship I know 🌹🌷.
Much Love kwamebaahgh ,@Itzthefinest ...we're making it big!

#scratchmusic #letsvibe #instrumental #programming #music #love #peace #grace #goodmorning #blacklivesmatter… https://t.co/nAV8E85NCZ"
0,"Should I advise my child to dress properly so as not to pose a threat to white people? 

  What should I say?
https://t.co/GOx4dX0zja

#BlackLivesMattters #blacklivesmatter @BB_Bloggers @ispyablog @BloggingNigeria @31i55aR3n33 @nyxiesnook @theclique_uk  @JoinBBC @UnwantedLife_Me"
1,🥳 🎉🎁 THANK YOU TO THE STAR OF OUR FAVORITE NETFLIX @PopTV SERIES @OneDayAtATime @themarcelruiz FOR WISHING OUR NEPHEW A VERY HAPPY BIRTHDAY 🎊🎂 🍰 ¡Feliz cumpleaños Arnaud! #MazalTov on your big 13th! And hat tip to Marcel for doing video to raise money for #BlackLivesMatter https://t.co/sk9KX5UBjs
0,"And it will go to the Senate where all good things go to die, unfortunately.
#PoliceReform #blacklivesmatter https://t.co/HRUM8WSWhj"
0,"So much division. They using mainly white #BlackLivesMatter protests to divide us so they can push the silent majority down. We win by remembering that we are not racists, we are #OneNation with an elite that has lost control because we have votes and we outnumber them"
1,"Sweary. Passionate. Hard Hitting. 

#WatchThis #BlackLivesMatter 

I need to credit the speaker. If anyone can help me out here… 

https://t.co/rMnIe3FNSy"
1,"Tomorrow is...... 🥁 
#NationalHIVTestingDay!!! 

#BlackLivesMatter #BlackHealth #CommunityHealth #SaveOurCities #AloneTogether #LetsGo🏃🏽‍♀️🏃🏽🏃🏾‍♂️ https://t.co/ZUmW8Z2jx4"
0,i’m sorry he was 21. i know i said two different ages. i am just so fucking hysterical right now for this poor woman and the family. #blacklivesmatter
0,"@SkyNews Why is it our Government allow 500k people in majority-white areas to go to the beach and do nothing, yet in majority-black areas anyone having fun gets riot police set on them?! #BlackLivesMattters #BlackLivesMatter

https://t.co/0RxP6BiSHn"
0,Hi @ninaricci_us you will never post anything like this. #blacklivesmatter https://t.co/p0cLbakpSe
0,The police teargassing the streets of Portland and pulling people out of their vehicles into the gas. #Portlandprotest #blacklivesmatter   #PDXprotests #pdx  #oregon #blm #acab #northprecinct #portland https://t.co/FIswALdILG
0,"We condemn racial violence and recognise the structural problems caused by racism and the underrepresentation of BIPOC scholars within our community. We stand in solidarity with the global #BlackLivesMatter protests. ✊🏽✊🏾✊🏿

But solidarity is not enough. 
https://t.co/iMUYQTj6zj"
0,"#HongKong’s ‘pro-democracy’ movement allies with far-right #US politicians that seek to crush #BlackLivesMatter

https://t.co/1jTr0VlYcA"
0,Heartbreaking tragedy! 💔#JusticeForJimmyWoodus #BlackLivesMatter https://t.co/J28s1cijww https://t.co/LMC0TqxL3O
1,"Artist: E*O
acrylic and crayon on paper, 8.5”x14”, Elm Collection, Spring 2020
#acrylicpainting #early days #preparedness #blackcreators #everylovewithyou 
#blackartist 
#blacklivesmatter 
#everydaylove… https://t.co/emAvfDKlhK"
0,The footage of Elijah McClain held down and the way those officers treated him is one of the best arguments in favor of abolishing police departments that I've ever seen. #DefundThePolice #AbolishThePolice #BlackLivesMatter #ElijahMcClainWasMurdered
0,@premierleague Fuck. Why is Divock and Mane missing here. #BlackLivesMatter and Divock is Kenyan shenzi.
0,"@DougJones @AlabamaFTBL “All lives can’t matter until black lives matter.” That says it all.

#wtpEBRC
#wtp2020
#BlackLivesMatter
@wtp__2020"
1,@shepwayvox @bureaulocal @cijournalism @guardianeco @BaldPolitiKs @guyshrubsole @DrGaryFuller @GreenpeaceUK @PollyHiggins @chaos_stop @TyndallCentre I am normally a supporter of Shepway Vox but am disgusted at the use of a photo of a #BlackLivesMatter protestor from Madrid to illustrate a totally unconnected matter. Also the use of that wearisome racist trope of ‘All Lives Matter’ to try &amp; gain twitter traction. Poor taste 😡
0,"Police breaking up parties in Brixton and Notting Hill, but not Anfield is it?

#blacklivesmatter"
1,Thank you @deafidentity for my awesome #BlackLivesMatter hoodie 💖 https://t.co/iQZiWcjPXr
1,"This framed picture of #OliveMorris hung in my mums living room for over 30 years, powerful words for a young girl to soak in every day. Words I have thought a lot about lately. #GoogleDoodle #BlackLivesMatter #BlackBritishHistory https://t.co/il4wrgxNKB https://t.co/istgclH6o5"
0,"@amarisjovie Its filth like you that do more damage to #blacklivesmatter than any whites. 
Really losing my sympathy lately. Black people attack a copper, its rage, coppers arrests an armed black guy - racism. Last two weeks have started to convinve me BLM is exploited, by you and your ilk"
0,"WATCH: BLM released this billboard of more than 3,000 names of victims of racist violence or inequality. 

It includes Belly Mujinga. Sign the petition calling for justice - @SouthernRailUK must take action!

✍🏽 https://t.co/3WOPG5P52y 

https://t.co/3lmQjkihgP
#BlackLivesMatter"
1,"@JoeBiden #UN75£48❤=❤7654321?=00/72?Y
#UNSC🇿🇦#UNGA+#SG+#DSG+#PGA
🆚@PresFDR£winSTALINaTION
#COVID19🆚#COVID!OT2020AG£SHAX
🆚BIG3TOP3B£ST3?
#HUMAN!S£DBRAINsMUSTLEAD
#HOMOevoLv£DSapiSpec
Z£RoToL£RANCE/4SOB737maX
IF💘#BlacKLivesMatter @DNC
#SDG1=?@WorldBank+@FNBSA
#234MD25©365x25=?@JoeBiden https://t.co/euYrXHQRTw"
1,"We need you now. Listen, share, donate. @S_LawrenceTrust #BlackLivesMatter

https://t.co/cuQj39LtM7

@iamcedricneal @LMTOrch https://t.co/86zUmN2NRO"
1,"@Gemini_Court @SkyNews Let's be clear : #BlackLivesMatter, #BLM and #Antifa protests that led to using violence and destruction of property is wrong. Therefore they also don't have a noble cause (is it #Marxism btw?)

Thanks for agreeing with me 👍"
0,A police state war zone in Portland Oregon. #Portlandprotest #blacklivesmatter   #PDXprotests #pdx  #oregon #blm #acab #northprecinct #portland https://t.co/UTlUNhPVtM
0,Let’s be honest. The media’s refusal to condemn #BLM protests in the #uk is the main factor as to why there are now so many mass gatherings and lack of adherence to social distancing. #BlackLivesMatterUK #protests2020 #COVID #COVIDIOTS #BlackLivesMatter
1,"Thank you @PeaceO89 for the amazing Staff Inset on ‘Discussing Racism’ 🙌🏾 

Great starting point for our #AntiRacist  development as an Academy 👌🏾 #BlackLivesMatter https://t.co/PEu9gFs9um"
1,don't let this become just another trend #BlackLivesMatter
0,"@JamesDMorris @helensclegel @rachshabi ""a ridiculous explanation""

Israel uses extremely violent and racist techniques against civilians. 

Israel trains US police forces.

It's really, really not ridiculous.

#BlackLivesMatter"
0,"This makes me sad as a few weeks ago my immediate reaction would have been ""who is this interesting person"" to day my reaction was ""is this Google plugging BLM?"". Well done #BlackLivesMatter you've even managed to corrupt me. https://t.co/wTYznuUaTl"
0,"Israel's treatment of the Palestinians and America's racist paramilitary policing of Black communities are so close in their motivation and impunity, only racists could nitpick over the details murder by murder. #BlackLivesMatter #ZionismIsRacism"
0,"Funny how Liverpool win the title and have thousands celebrate outside Anfield

There can be 3 illegal raves where people are raped and stabbed.

but BLM fighting for EQUALITY is “just people spreading COVID” 😂 you lot make me sick. Especially the media 🤮#BlackLivesMatter too!!"
0,"Disgusted  with comments of #MogoengMogoeng His loyalty to Israel  shows he is turning a blind eye to it as an apartheid state, their flouting of Intl law, and treatment of African refugees, who by the way are also Christians.Where did #Blacklivesmatter then? https://t.co/o0Aw6n5HBi"
1,"That's what it is all about: ""Separating the #slogan from the #organization"".
It's the same for #antifa and #BlackLivesMatter.
Of course black lives matter. As do white, asian, latino and other lives. https://t.co/6nVXW62JcH"
0,"“Young teens or pre-teens of color were handcuffed, arrested, or held at gunpoint while... running, playing with friends, high-fiving, sitting on a stoop, or carrying a backpack.” #NYPD report (yup). https://t.co/ldGLVl1qKL #urbanchildhoods #blacklivesmatter #playmatters"
1,Well done to @nicolathorp_ for pulling Andrew Castle up on comparing crowds on beaches with #BlackLivesMatter protests
0,But ofcourse there is no institutional racism in the Metropolitan Police right? Instead of using all their time to defend the indefensible they should take a hard look in the mirror #BLACKLIVESMATTER https://t.co/7AJQGwDEGB
0,"@AriellaHanker #BlackLivesMatter
I see what you did there. 
Pasting white squares over POC- oh my!
As a person of white privilege you don't understand how offending such a thoughtless picture is to non-white people.
Acknowledge your implicite racial bias hiding in plain sight."
0,Police using teargas to push the crowd back. #Portlandprotest #blacklivesmatter   #PDXprotests #pdx  #oregon #blm #acab #northprecinct #portland https://t.co/bJUuw2cTSp
1,"🖐 Stop beating yourself up!
Lighten up! Today you have a chance to be &amp; do better.
#fridaymorning #FridayMotivation #FridayVibes #Affirmation #peptalk #BeBetterEveryday #BeKind 
#heatwave #HumanLivesMatter #lifestyle #GeorgeFloyd #BlackLivesMatter  #FridayFeeling #FridayThoughts https://t.co/L8wGBCaiHs"
0,"Here's a post you might have missed! Read about why....""Riots Are A Primal Scream For Help."" https://t.co/SHwuygGHaS #BLM #BlackLivesMatter"
1,"THREAD: I’m starting a thread of educational docs/movies/tv shows I’ve been watching on #BlackLivesMatter &amp; #pridemonth Everyone learns differently &amp; watching TV is a fabulous way to educate yourself if you don’t have time to read 🎥 
Feel free add your recommendations 👇🏻 👇🏻👇🏻👇🏻"
0,this is why we say #blacklivesmatter. &amp; if you say #AllLivesMatter then you’d better do something about this or you’re straight up fucking lying https://t.co/vKEtIThZ9K
0,"Repost from @thedailyshow
•
Introducing Blacklexa: it answers your white friends’ questions about race so you don’t have to. @trevornoah #trevornoah #dailyshow #blacklivesmatter #blackhistory #blackhistorybootcamp #blm https://t.co/DNGmydlpCI"
0,"New iPad Pro Magic Keyboard
.
12.9” - 195,000
11” - 170,000
.
☎️- 08022381338, 09056033184
.
.
.
#buyfromfirst2shop #buypeaceofmind #abuja #ikorodubois #lekki #blacklivesmatter #magickeyboard #ipadpro2020 #apple @… https://t.co/1St3N38jPX"
1,@plpflip @jycompany_ They could spend that money on #BlackLivesMatter.
1,"With the updates stopping roughly an hour ago, I’m really hoping Robert is okay - the people of Portland are okay, and that the zone won. #blm #blacklivesmatter #portland #portlandprotests Stay strong. ✊🏾✊🏾✊🏾✊🏾 https://t.co/jNeC6HgBuS"
0,"Oh my god, there are no words. #blacklivesmatter #AltheaBernstein https://t.co/X232h2dSoy"
0,"I have MANY unfollowers! GREAT! These are the false so called ""PATRIOTS"" that support all the companies who endorse #BlackLivesMatter and #ANTIFA. PLEASE unfollow me unless you're willing to fight for a free non-communist/totalitarian America! Thank you!
AmericaLoveItOrLeaveIt https://t.co/Thm3phr4vn"
0,"Protesting in masses for #BlackLivesMatter was labelled as bad, but celebrating a Premier League title in masses is calm? Smh. https://t.co/oqvv9sfOH6"
0,Do #BlackLivesMatter to the @metpoliceuk @policeconduct when your officers take + share inappropriate photos of the murder scene of two Black Sisters: Nicole Smallman &amp; Bibaa Henry? Simply horrific. Even in death these black women received zero dignity #Racism #BlackLivesMatterUK https://t.co/8UQR1idABt
1,San Miguel Beer superstar guard @cmross6 reflects on racism and equality – as a proud Filipino and as a proud black man – in the aftermath of George Floyd’s death and the #BlackLivesMatter movement in the United States. https://t.co/8SgXN0Wurw
0,"But sky said #BlackLivesMatter 

Fools https://t.co/ot524cGQAy"
1,"Alright I did this. I'm not VEERY proud of it but it's not that bad tbh. Just know that it doesn't matter what color your skin is, you are always loved and everyone cares about you. #blacklivesmatter 

I don't know how to draw fists btw https://t.co/AKOeW5EgKx"
0,Trump Responds to BLM Organizer’s Threat to ‘Burn Down This System’ https://t.co/il3WHBLkMy via @epochtimes #America #Politics #BLM #BlackLivesMatter #Trump #Racism #Fascism #socialism #Communism #Sedition #Treason #Marxism
1,"@PriyamvadaGopal #blacklivesmatter

Blackness isn't the reason lives should matter. Lives do matter, but not because they are Black. I say the same thing about my own community."
0,"They are using #blacklivesmatter for their own political agenda 

Disgraceful https://t.co/UKDmOK0AQb"
1,"Dear @NBA , dear @WNBA Please, protect your athletes and fans from Covid-19.
#BlackLivesMatter"
1,"TGIF to everyone 
EXCEPT the murderers of #BreonnaTaylor 
#BlackLivesMatter Always! https://t.co/p9B5Zl7rui"
1,"#quoteoftheday 
“Change your thoughts &amp; you’ll change your world”.
~ Dr Wayne Dyer
#fridaymorning #FridayMotivation #FridayVibes #Affirmation #peptalk #BeBetterEveryday #BeKind 
#heatwave #HumanLivesMatter #lifestyle #GeorgeFloyd #BlackLivesMatter  #FridayFeeling #FridayThoughts https://t.co/wTNBq5ps7T"
1,#POC: How do you feel about the very normalised 'BBC' category on porn sites? #BLM #BlackLivesMatter
0,Yep! Fcuk your dinner! The only thing that matters is #BlackLivesMatter. https://t.co/hB303EmWWG
0,@SkyNews Don't forget to mention that perpetrators were black. Or #BlackLivesMatter only when not reporting the criminal offences made by black people.
0,Please report this @skynews interview to Ofcom. We cannot continue to have people spreading lies as facts about the black community. And to think this man used to the former met chief superintendent. #blacklivesmatter #blacklivesmatteruk #brixton #lies #racism #propaganda https://t.co/TbyeGrIoT1
0,"The fire still burns on, and the police keep giving out threats. #Portlandprotest #blacklivesmatter   #PDXprotests #pdx  #oregon #blm #acab #northprecinct #portland https://t.co/amwGeiicVK"
0,"@PippaCrerar @RLong_Bailey No she made it clear she remained loyal to the party, not necessarily to Keir himself.
This has shades of Keir taking the knee for #BlackLivesMatter but not publicly backing @labourlewis @DawnButlerBrent  and @HackneyAbbott against abuse!
@UKLabour in danger an expensive term!"
1,This is important.  Please share https://t.co/x2oJm8FRNg #BlackLivesMatter  #wakeupcall
1,This is really important data that needs action NOW #BlackLivesMatter https://t.co/lCuVVrHxV0
1,"#WomenSPORT  #WomeninSPORT #BlackLivesMatter

Test your knowledge on the influence and contribution of black women in sports here

VIA: @WomensSport
This story &amp; more in
@WSNet - MAGAZINE https://t.co/DTrBFOujit"
0,@realDonaldTrump @WhiteHouse This was a major set-back in #equality &amp; #justice. You could remedy this but you won't for #political reasons. You never think of a #United country only personal success. #BlackLivesMatter &amp; this is just another #injustice &amp; restriction of #freedoms. https://t.co/XimH9UytEt
0,".@AndrewCastle63 comparing the Bournemouth beach cnuts to #BlackLivesMatter protesters.

FFS

#ThisMorning https://t.co/IVjtJswT0U"
1,"✊ shoutcire ► ""TIAGO 1"" in the air of https://t.co/e2ZGXheIrx ⚡
#lifegoeson #love #withoutfear ##BlackLivesMatter #radiorueda #lavidasigue #amor #sinmiedo"
0,"Reminder that #blacklivesmatter always, and the pandemic is still a huge and growing problem in the US. If you aren’t protesting against the police, stay home!"
1,"2 DAY COUNTDOWN ❗❗️️
FREE - don't miss out 😃😍

https://t.co/YHNQH8VZfF

#BETHECHANGE
Let’s chat on Sun, 28th June, 4pm UK time!! Bring tea &amp; cake. ☕ 🍰

Much love, invite all!! 💃🏽💃🏽
Fola xx (@Komolafefola)

#opentalk #Haveyoursay #Blacklivesmatter #FREEevent #Friday https://t.co/vmRlsAHkGu"
0,"@realDonaldTrump When black rights are preserved, and full constitutional acknowledgement of the black community is fulfilled, white privilege disappears

The Democrats are making these people beg for their lives with #blacklivesmatter. I think republicans should have higher aspirations that this"
1,Stay safe and stay strong North PDX! #blacklivesmatter https://t.co/MwrTeTLvQA
0,"scares me that to this point we still don’t hear many explain, or even touch on, the true extents of structural racism in this country/its effects. bc george floyd’s murder, &amp; the response, can’t be allowed to be minimized down to simply a police abuse problem. #blacklivesmatter"
0,https://t.co/0wGfJwRxeC 🔊 Shut It Down by Neil Young &amp; Crazy Horse #AmericaOrTrump #DemilitarizeThePolice #BlackLivesMatter https://t.co/95yUdq0RjU
0,"What Really Matters? by Ian Babb

➡️https://t.co/XaHolEoSkZ

#SouthLondonisBlackandWhite #BlackLivesMatter #Tooting #Mitcham #NonLeague #Oprah #JaneElliott https://t.co/BL4qJ6JCTb"
0,"@nicolathorp_: You can’t compare the crowds at Bournemouth against the #BlackLivesMatter protests!
@AndrewCastle63: I just did.

👏 👏 #ThisMorning https://t.co/wBbUTgR2m1"
1,"Thanks &amp; appreciation must also go to the global #BlackLivesMatter movement which mobilised after the death of George Floyd and which has shone a light on police racism, illegality, and murder. As @emikoyama so eloquently said here: https://t.co/LmbbUTbwOQ"
1,People should never shut up about #BlackLivesMatter
0,"Let's trend this! #Allhomosapiensmatter Oh wait, U won't! Cuz that doesn't promote one race over all others in a pretty blatant way! But #Blacklivesmatter I guess 🤔🙄🤨🤕🤐🤐🤐🤐🤐🤐🤐🤐"
0,"@NYGovCuomo @NYCMayor You both must support #BLM #BlackLivesMatter right?! Then you must re-name NYC because its name originates from Slave Trader! Some proper Marxist names to appease #antifa: New Beijing, New Moscow, New North Korea! @MarkDice @IngrahamAngle @TuckerCarlson https://t.co/cOvTTAZm7N"
0,"@MadBerserker22 Salam, the unroll you asked for: @Partisangirl: The #blacklivesMatter website says BLM is about the black vote for Biden. The #BlackLivesMatter website… https://t.co/dwKb1MJSqf See you soon. 🤖"
1,@PrismPop_ is offering to exchange their chip credits for donations for #blacklivesmatter organizations and #BreonnaTaylor groups. Thank you for using your platform. If you want to sign up for them let me know it's an email sign up I'll need your email. https://t.co/6W6IQ4EO35
1,"Print release. Raising money for Black Lives Matter and SARI. Link in Bio. https://t.co/2LUWU0Phvd

#art #ink #print #blacklivesmatter #sari #illustration #linocut #artist #picoftheday https://t.co/VklZ8bhPn2"
0,"Black Lies Matter! Yes, started on a lie &amp; funded by Communist Extremists who are working day &amp; night to take down the US Constitution!
No real Christian can support #BLM!
#BlackLivesMatter
#AllLivesMatter
#BlueLivesMatter
@POTUS
@SheriffClarke
@prageru
https://t.co/SIyBLBXNeQ"
0,"@JeremyVineOn5 @GloriaDePiero @bonsuman @adepstein1 @theJeremyVine @StormHuntley @adepstein1 

How you deal with racism regardless of the form it takes. 👇

I look forward to you calling out racism in all its forms.

#JewishLivesMatter #BlackLivesMatter #JeremyVine https://t.co/hCGrjlVqor"
1,So many of those who were critical of #BlackLivesMatter marches being a cause for a surge in #Covid19UK have been strangely silent on the huge numbers on Bournemouth beach. https://t.co/bsqQ81DEOY
